OverallQual,GrLivArea,LotArea,LotFrontage,OverallCond,TotalBsmtSF,YearBuilt
9,1828,11694,90.0,5,1822,2007
5,894,6600,60.0,5,894,1962
5,964,13360,80.0,7,876,1921
8,1689,13265,70.04995836802665,5,1568,2002
7,1541,13704,118.0,5,1541,2001
7,1221,7500,62.0,5,1221,2004
6,1324,8658,84.0,5,1088,1965
7,1416,2572,24.0,5,696,1999
4,988,1596,21.0,5,462,1973
6,1218,6000,60.0,6,735,1941
7,1656,6931,60.0,5,746,2003
6,1362,7577,61.0,5,1362,2005
6,1839,7700,70.0,5,756,1966
6,1375,11310,75.0,5,1367,1954
5,1122,12000,100.0,7,924,1948
5,1432,16157,70.04995836802665,7,1360,1978
7,1456,9018,65.0,5,728,2007
7,1217,9947,70.04995836802665,5,1188,1990
5,1040,7200,60.0,7,0,1950
6,1224,3000,30.0,5,612,2009
7,1774,6120,51.0,5,952,1931
5,1367,8405,50.0,8,861,1900
5,1360,7200,60.0,6,803,1938
6,848,4426,70.04995836802665,5,848,2004
8,2262,12244,85.0,5,1482,2003
4,1220,8877,67.0,5,836,1951
7,1414,3072,70.04995836802665,5,1375,2004
6,2058,9600,60.0,5,735,1917
6,1198,5586,60.0,7,901,1920
8,1659,5664,40.0,5,1501,2000
6,1012,8263,59.0,5,1012,1920
7,3082,15863,102.0,3,824,1920
5,1812,7630,76.0,9,360,1900
7,1929,7050,70.04995836802665,5,1057,2001
5,954,10780,55.0,5,911,1976
9,1838,14601,85.0,5,1838,2006
6,1640,14778,70.04995836802665,7,1296,1954
5,1148,7931,70.0,5,1148,1959
5,950,9758,61.0,5,950,1971
8,1911,9554,80.0,5,777,1993
6,1635,8737,70.0,7,1065,1923
7,1316,11175,103.0,5,1316,2007
6,1442,11717,70.04995836802665,6,1442,1970
5,1078,12537,70.04995836802665,6,1078,1971
4,1120,6970,85.0,5,1040,1961
8,1419,7750,70.04995836802665,5,408,2002
7,1389,3378,60.0,8,651,1946
5,1063,9920,80.0,5,1056,1954
9,1792,11846,72.0,5,1792,2003
6,1216,4500,32.0,5,1216,1998
7,1762,7200,60.0,7,596,1920
7,1959,11796,59.0,5,847,2004
6,1208,11250,70.04995836802665,6,1208,1977
5,1524,11344,78.0,5,874,1958
4,1154,5436,40.0,8,796,1922
5,1048,7200,60.0,5,0,1950
5,886,5784,50.0,8,190,1938
5,943,7032,70.04995836802665,5,943,1979
7,1768,9803,75.0,5,866,2005
9,2599,14774,108.0,5,1393,1999
5,912,10150,70.0,5,912,1958
5,882,12702,70.0,5,0,1956
6,1337,4060,34.0,5,1405,1998
10,2076,13891,107.0,5,2076,2006
8,2531,12257,65.0,5,1318,1995
5,1768,7200,60.0,7,731,1937
8,1625,4750,44.0,5,1573,2006
6,2144,159000,70.04995836802665,7,1444,1958
10,2775,13500,75.0,9,1237,1893
6,1868,12090,78.0,7,585,1984
7,1525,9100,70.0,5,1525,2000
8,1571,10991,89.0,5,1571,2007
5,796,8777,67.0,7,796,1910
5,2372,6600,60.0,4,994,1892
7,1472,10784,70.04995836802665,5,384,1991
4,960,10246,70.04995836802665,9,648,1965
5,1838,21930,60.0,5,732,2005
6,1309,10140,78.0,6,1040,1974
9,2643,13693,105.0,5,2153,2006
5,1131,5720,52.0,6,676,1941
5,1960,7596,60.0,5,960,1952
5,1144,9204,71.0,5,1144,1963
6,1056,6979,64.0,5,1056,1980
4,693,4118,153.0,4,693,1941
6,1494,9236,79.0,5,1479,1997
8,1646,3842,44.0,5,1594,2004
5,864,7180,60.0,7,864,1972
8,1566,9000,75.0,5,1566,2008
6,1395,12936,70.04995836802665,6,723,1972
4,1208,6240,52.0,5,780,1925
5,1513,6120,51.0,8,939,1920
6,1367,6240,52.0,6,884,1931
5,955,7742,66.0,7,955,1966
3,1077,9786,60.0,4,1007,1922
5,1056,34650,100.0,5,1056,1955
7,1553,8125,65.0,5,756,2005
7,1614,11210,86.0,5,1614,2005
8,2042,12704,98.0,5,2042,2008
5,1073,5400,60.0,6,1073,1921
5,1285,8635,50.0,5,672,1948
6,2117,12925,70.04995836802665,7,1205,1970
4,605,9098,58.0,7,528,1920
5,1150,7945,70.0,6,1150,1959
6,1456,8029,51.0,5,728,2005
7,999,12122,70.04995836802665,9,944,1961
6,1500,8846,68.0,5,750,2005
5,1336,15750,90.0,5,1165,1953
6,1593,7415,62.0,5,839,2004
9,2184,11308,96.0,5,1104,2008
7,1560,9196,129.0,5,1560,2003
5,1644,9480,79.0,7,728,1942
4,630,1526,21.0,8,630,1970
6,1113,7917,70.04995836802665,7,1143,1976
7,2172,14154,109.0,5,1063,2006
4,1346,11767,70.0,7,560,1910
8,2610,9000,75.0,5,1184,2007
7,1958,10625,85.0,5,1026,2005
8,1468,9612,74.0,5,1468,2008
5,1734,10125,75.0,5,0,1977
5,1200,11767,70.0,6,768,1946
7,1550,8125,65.0,5,1092,2006
4,2230,6204,60.0,5,795,1912
6,1639,10480,51.0,5,1064,1936
5,864,9100,70.0,5,864,1958
7,1621,14145,91.0,7,1208,1984
6,987,1680,21.0,8,483,1972
7,2519,26178,42.0,5,1210,1989
5,1365,2368,24.0,6,765,1970
8,2290,11250,70.04995836802665,5,1128,2002
9,2596,16259,111.0,5,1249,2006
4,907,8593,77.0,6,907,1957
6,1456,2280,24.0,6,855,1976
5,1190,7728,70.0,6,1106,1962
4,858,7340,70.04995836802665,6,858,1971
7,2223,13651,95.0,6,2223,1973
4,1005,10434,60.0,5,1005,1955
7,1895,10832,70.04995836802665,5,712,1994
5,1040,11200,70.0,5,1040,1965
5,1264,9300,73.0,5,1268,1960
7,1761,10207,84.0,6,874,2007
6,1034,12328,70.04995836802665,5,1012,1976
7,1363,39104,73.0,7,1385,1954
6,1689,9855,73.0,5,1436,1956
8,2113,10437,91.0,6,2109,1995
7,1573,9808,67.0,5,1573,2002
9,2364,12919,100.0,5,2330,2009
7,2034,9375,70.04995836802665,5,1057,1997
6,1291,2887,70.04995836802665,5,1291,1996
5,858,7207,50.0,7,858,1958
6,1258,9060,60.0,5,560,1939
2,438,8400,60.0,5,290,1920
6,1400,7844,74.0,7,672,1978
5,954,6305,50.0,7,920,1938
6,1445,12095,70.04995836802665,6,1127,1964
6,1072,3675,35.0,5,547,2005
5,1664,9825,75.0,5,0,1965
6,2134,11888,70.04995836802665,6,844,1916
8,3194,12168,78.0,6,965,1934
6,1824,9400,94.0,5,912,1971
6,1756,9303,70.04995836802665,5,872,1996
5,912,8872,72.0,8,912,1965
6,1509,10200,85.0,5,1461,1988
6,1608,6171,51.0,6,976,1925
6,1316,10237,65.0,5,1316,2005
5,1015,6120,51.0,7,768,1925
5,1134,8160,60.0,6,756,1940
8,1636,13501,116.0,5,1623,2006
7,1320,7750,70.04995836802665,5,660,2003
5,2126,28698,70.04995836802665,5,1013,1967
5,1128,8700,80.0,6,1120,1963
5,1306,8712,64.0,7,992,1957
4,1344,1533,21.0,6,546,1970
7,2554,10800,60.0,8,718,1890
5,893,9600,60.0,7,845,1949
6,1933,14598,86.0,5,894,2007
6,1218,1890,21.0,5,672,1973
7,1969,11952,92.0,6,808,1977
8,2090,10000,80.0,5,1220,1995
5,1484,12243,70.0,6,1484,1971
5,1656,9246,87.0,5,1656,1973
6,1224,3950,70.04995836802665,8,818,1926
6,2054,12224,70.04995836802665,5,992,2000
7,854,6120,51.0,8,832,1929
4,1092,1974,70.04995836802665,5,546,1973
5,1268,9286,70.04995836802665,7,1268,1977
7,1661,10667,43.0,6,799,1996
8,1668,10635,48.0,5,1657,2003
6,1493,13125,75.0,5,1478,1997
6,932,8280,57.0,5,932,1950
7,1277,10628,85.0,5,1277,1970
7,1530,14572,182.0,5,1530,2004
5,1344,9503,70.04995836802665,5,1024,1958
5,860,8740,74.0,6,840,1982
7,1314,5001,34.0,5,1314,2007
7,1962,8760,73.0,5,1391,2006
7,1490,15384,60.0,5,788,2004
6,848,4426,70.04995836802665,5,848,2004
5,672,10200,60.0,8,672,1940
7,2340,9042,66.0,9,1152,1941
5,1656,10410,60.0,7,660,1916
7,1479,7472,70.04995836802665,9,725,1972
7,1226,10402,94.0,5,1226,2009
6,2087,12205,70.04995836802665,8,832,1966
6,1158,13072,63.0,5,1158,2004
5,1154,11000,70.04995836802665,6,1154,1966
7,1724,8924,57.0,5,880,1998
6,1658,8000,70.04995836802665,5,773,1995
4,1126,8777,67.0,5,0,1949
5,1393,16466,59.0,7,816,1955
8,3447,14100,70.04995836802665,9,728,1935
6,987,1953,21.0,5,483,1973
5,1355,10106,62.0,7,644,1940
7,2069,27650,313.0,7,585,1960
7,1501,2280,24.0,5,744,1999
8,1976,14977,110.0,5,1976,2006
8,1563,10206,78.0,5,1563,2007
7,1111,5700,70.04995836802665,7,572,1926
7,1502,7200,60.0,6,776,1931
3,1733,13680,70.04995836802665,5,0,1955
9,2728,20431,56.0,5,1848,2005
5,1302,1680,21.0,7,630,1972
7,1524,23595,70.04995836802665,6,1332,1979
4,1588,17120,80.0,4,0,1959
5,1125,8536,74.0,5,1125,2006
7,1200,3180,30.0,5,600,2005
6,1640,8366,65.0,5,798,2004
7,2127,10944,81.0,5,1223,1994
6,972,8000,50.0,6,972,1948
8,2020,9828,80.0,5,1128,1995
5,1144,9571,68.0,6,1144,1956
5,1352,6930,92.0,4,1062,1958
5,1316,5500,50.0,7,926,1929
8,1924,12011,78.0,5,1086,1998
5,1164,10880,68.0,5,1164,1950
5,952,7350,60.0,7,952,1951
8,2358,5250,50.0,5,684,1872
6,1680,21695,70.04995836802665,9,880,1988
6,1912,10800,60.0,7,482,1905
6,1004,11241,70.04995836802665,7,1004,1970
4,1230,4712,51.0,7,747,1946
5,1167,8731,98.0,5,915,1920
5,1301,6911,60.0,5,1145,1924
7,1453,5271,70.04995836802665,5,1453,1986
8,1601,11423,70.04995836802665,5,1581,2001
8,1588,10000,85.0,5,1588,2006
6,1095,10382,75.0,5,588,1958
5,1050,10659,70.04995836802665,6,1050,1961
4,960,10921,73.0,5,960,1965
5,1456,7585,50.0,3,810,1948
6,1489,9156,70.04995836802665,7,1489,1968
7,1726,9416,79.0,5,1726,2007
7,2082,11426,63.0,5,1362,2003
7,1339,8049,50.0,5,1309,1990
8,2450,16545,70.04995836802665,5,1284,1998
7,1863,14054,58.0,5,879,2006
5,768,8445,70.0,7,768,1972
1,334,5000,50.0,3,0,1946
6,1136,9200,80.0,6,1136,1965
6,1337,4500,32.0,5,1237,1998
5,912,7800,66.0,5,912,1964
5,1812,7590,69.0,5,864,1962
5,2192,8400,60.0,8,720,1939
5,1184,8410,58.0,3,658,1910
7,1889,10120,60.0,4,925,1910
5,1327,7388,75.0,6,1063,1959
6,1422,12090,78.0,6,1422,1981
5,1632,25000,100.0,4,1632,1967
7,1630,9750,75.0,5,1630,2000
3,1526,8470,105.0,2,1013,1915
4,1040,7200,60.0,5,0,1949
6,1647,6858,66.0,4,806,1915
4,1981,7804,65.0,3,1122,1928
6,1644,9600,80.0,5,1416,1953
8,2574,9588,69.0,5,1482,2007
6,1824,13515,60.0,6,764,1919
6,1350,9020,82.0,5,1248,1964
6,958,4928,70.04995836802665,6,958,1976
6,1848,13053,64.0,7,833,1923
4,1620,9991,70.04995836802665,4,1281,1976
6,1167,9248,70.04995836802665,6,1158,1992
6,1487,8741,52.0,4,735,1945
5,892,7150,65.0,5,892,1967
5,804,7200,60.0,7,788,1940
5,1140,17217,90.0,5,1140,2006
6,1796,7056,71.0,5,780,1963
6,2030,12046,70.04995836802665,6,848,1976
10,2007,11003,85.0,5,1017,2008
5,691,5400,60.0,6,691,1920
8,1590,9000,75.0,5,768,2008
6,1855,9525,75.0,4,994,1954
7,1804,7500,60.0,5,994,1999
7,1768,8158,65.0,5,884,2003
10,3627,35760,118.0,5,1930,1995
6,1298,11200,70.04995836802665,5,1298,1985
7,1801,15602,100.0,8,1501,1959
5,630,1533,21.0,7,630,1970
6,1103,6000,50.0,6,1103,1925
4,1178,8712,66.0,7,859,1900
4,1196,4800,40.0,7,1196,1916
7,1372,8640,72.0,5,1372,2007
6,1431,9150,101.0,5,1099,1962
7,1422,8500,63.0,5,1422,2004
6,1953,53107,70.04995836802665,5,1580,1992
4,1121,8546,80.0,5,1121,2003
8,2473,9591,76.0,5,1143,2004
5,1057,7420,70.0,5,1057,1962
5,1110,9101,70.04995836802665,6,1097,1978
8,2270,11764,92.0,7,1152,1999
9,2018,13214,89.0,5,2002,2008
6,1386,11616,70.04995836802665,5,672,1978
8,1953,10574,85.0,5,1082,2005
8,1337,5395,41.0,5,1337,1993
8,2285,11000,70.04995836802665,5,969,2000
8,1718,10637,79.0,5,1705,2007
5,1086,13400,85.0,5,1024,1966
7,1555,3684,53.0,5,1373,2007
7,1902,17500,100.0,8,1902,1959
7,2514,11170,70.04995836802665,5,1216,1990
5,1224,7018,64.0,5,1086,1979
6,1054,9750,65.0,8,1054,1969
8,2612,12203,98.0,5,1225,1998
5,902,6173,70.04995836802665,6,876,1967
7,2353,13005,94.0,7,845,1980
6,1392,10900,70.04995836802665,7,689,1977
5,1155,11782,88.0,7,1109,1961
5,1904,7200,60.0,4,1208,1950
6,1158,6000,50.0,7,862,1929
6,1362,6155,60.0,8,611,1920
7,2291,8738,66.0,5,975,1999
4,1317,8500,50.0,4,649,1920
8,1734,12085,93.0,5,1734,2007
6,1194,8760,73.0,6,1194,1959
5,1416,12665,100.0,8,876,1915
5,1383,13284,70.04995836802665,5,1383,1954
5,2002,6270,82.0,6,1001,1949
8,1496,9158,76.0,5,1496,2007
5,1604,10998,60.0,5,984,1941
5,764,5232,30.0,5,680,1925
6,1732,9206,77.0,5,741,1985
7,1494,10652,91.0,5,1494,2006
6,986,6180,60.0,5,960,1926
7,1145,3182,43.0,5,1145,2005
6,1484,6300,35.0,6,742,1914
6,1344,14375,70.04995836802665,6,819,1958
5,1539,10440,60.0,8,650,1904
9,2504,11198,77.0,5,1122,2005
4,747,5825,52.0,5,600,1926
7,2097,9750,75.0,6,1108,1998
10,4676,40094,130.0,5,3138,2007
6,1176,6000,50.0,9,698,1937
4,720,7879,60.0,5,720,1920
8,1580,11932,92.0,5,1580,2007
4,1440,7711,42.0,3,1440,1977
6,1476,8633,64.0,5,738,2005
7,1500,8487,63.0,5,1500,2004
5,1348,6000,50.0,8,884,1925
5,1200,9230,71.0,8,864,1965
6,1394,9500,70.04995836802665,5,1394,1963
6,1632,9130,70.04995836802665,8,800,1966
5,912,8521,70.0,5,912,1967
6,2624,22420,86.0,6,1370,1918
5,1696,13673,40.0,5,1140,1962
5,1230,10440,60.0,6,440,1910
8,2727,10570,70.0,8,853,1932
6,1456,15578,105.0,5,728,2006
4,864,6960,60.0,6,864,1970
6,1709,2522,24.0,5,970,2004
8,1665,8400,70.0,6,810,2001
7,2646,9900,90.0,5,1347,1993
7,1640,7226,72.0,5,798,2003
3,1699,10615,107.0,5,978,1900
4,1663,53227,70.04995836802665,6,1364,1954
5,1728,9100,70.0,5,1728,1963
6,1845,11218,70.0,5,1055,1992
6,1851,9760,80.0,8,822,1964
8,1489,11216,81.0,5,1489,2006
6,864,9100,70.0,6,864,1959
5,1256,9937,75.0,6,1256,1965
5,816,6600,60.0,8,816,1982
7,1820,13700,70.04995836802665,6,864,1965
7,2127,13125,103.0,5,1104,1991
5,1065,8892,80.0,5,1065,1960
6,1200,11340,84.0,5,1200,1923
7,1208,6762,64.0,5,1187,2006
8,2482,12665,88.0,5,1094,2005
7,1720,10593,59.0,5,1720,1996
5,840,4388,55.0,7,672,1930
6,1294,7153,70.04995836802665,5,1278,1991
5,1090,7024,60.0,5,1090,2005
8,2263,12090,93.0,5,1141,1998
5,969,10356,120.0,6,969,1975
3,894,18000,120.0,4,894,1935
5,1028,8960,56.0,6,1008,1927
6,1958,7136,82.0,6,979,1946
8,1795,9986,75.0,5,1795,2006
9,1940,10159,83.0,5,1930,2009
5,1178,10000,80.0,6,1176,1973
6,1482,12155,70.04995836802665,8,672,1925
7,1428,12274,91.0,5,1417,2008
5,864,15523,36.0,6,864,1972
5,1111,9084,60.0,6,616,1941
6,1470,9765,70.04995836802665,8,680,1993
6,1116,10000,87.0,6,1116,1962
6,864,7332,60.0,6,864,1959
5,1297,8532,74.0,6,1297,1954
5,1113,9600,80.0,7,1113,1950
7,1501,10335,78.0,5,1490,1999
7,1547,8640,72.0,5,756,2009
7,1947,12552,100.0,5,991,2004
8,1717,11146,87.0,5,1709,2006
6,1052,8816,80.0,7,1010,1971
7,2013,9920,92.0,5,1117,1996
7,1266,3182,43.0,5,1266,2007
9,2868,16056,85.0,5,1992,2005
7,2256,8795,70.04995836802665,5,952,2000
7,1414,8773,65.0,5,1414,2004
6,1721,8462,70.0,5,928,1994
6,1552,11475,85.0,6,713,1975
4,1128,7500,60.0,4,698,1920
6,1118,9880,76.0,6,1096,1977
6,1728,12640,55.0,5,1728,1976
8,2448,46589,52.0,7,1629,1994
5,1473,25095,65.0,8,1437,1968
7,1717,13758,44.0,5,1156,1990
7,1166,9587,59.0,5,856,2005
8,1370,6442,44.0,5,1370,2006
6,1724,17871,70.04995836802665,5,1680,1967
7,1709,2522,24.0,5,970,2004
6,987,1680,21.0,3,483,1971
7,1802,7588,54.0,6,793,1920
6,2345,16560,80.0,8,952,1932
6,1068,8414,70.0,8,1059,1963
6,1617,8012,50.0,5,1604,1993
6,1244,11988,90.0,6,1244,1957
4,1180,11600,80.0,5,700,1922
7,1223,2544,24.0,5,600,2005
6,1686,10240,79.0,6,1686,1980
8,1646,9520,71.0,5,1638,2007
5,1144,10000,80.0,6,864,1961
7,1797,9245,79.0,5,939,2006
4,1224,9842,70.0,5,0,1962
7,1865,10316,70.04995836802665,5,992,2000
5,1056,8176,70.0,6,1056,1958
9,3140,13518,104.0,5,1926,2008
6,1212,8471,88.0,7,506,1977
8,1694,10084,75.0,5,1686,2004
6,1511,11207,70.0,5,802,1997
5,1057,7922,68.0,7,1057,1953
4,2290,11340,60.0,6,777,1885
7,2183,13837,70.04995836802665,5,1204,1988
7,3222,12376,90.0,5,1673,1990
7,1716,8750,70.0,5,880,1996
6,1342,9790,70.04995836802665,5,1372,1967
7,1504,3182,43.0,5,1346,2005
8,1992,9375,75.0,5,1053,2003
7,1252,2160,24.0,5,600,1999
5,999,7758,70.04995836802665,7,999,1962
4,1363,7740,60.0,7,622,1910
6,1165,9020,82.0,7,1127,1966
9,1668,11248,90.0,5,1626,2002
8,2376,14215,101.0,5,1158,2005
5,1440,5000,63.0,4,540,1900
6,1470,13869,70.04995836802665,6,794,1997
7,1541,12182,95.0,5,1541,2005
4,1440,12108,92.0,4,1440,1955
7,1146,9590,73.0,5,868,2003
8,1494,9549,30.0,5,1494,1995
9,2224,8834,74.0,5,1462,2004
5,1343,7681,54.0,6,731,1921
8,2452,16226,66.0,5,1028,1998
6,1977,9500,100.0,6,816,1964
7,1767,5306,44.0,7,1064,1987
8,1324,6240,48.0,5,1324,2006
6,1458,17503,78.0,5,912,1948
6,1314,9317,78.0,5,1314,2006
6,1575,8012,50.0,5,1575,1992
9,1620,12898,89.0,5,1620,2007
4,1788,11250,70.04995836802665,5,1104,1957
6,913,8400,70.0,5,814,1966
6,2073,13175,85.0,6,1542,1978
8,1441,2645,24.0,5,776,1999
7,1690,8850,65.0,6,815,1916
5,1437,14175,70.04995836802665,6,1188,1956
7,2156,20781,70.04995836802665,7,1568,1968
5,864,5604,67.0,6,864,1925
5,1112,2592,36.0,3,536,1976
7,2243,13474,116.0,5,700,1990
4,1328,9906,57.0,4,686,1925
4,968,10800,60.0,6,656,1927
6,1396,8730,60.0,7,698,1915
9,1856,11394,88.0,2,1856,2010
8,2161,10562,86.0,5,1582,2007
6,1602,16635,70.04995836802665,7,1602,1977
5,1302,1680,21.0,5,630,1971
6,1509,7861,70.04995836802665,5,783,2002
5,912,12968,70.04995836802665,6,912,1962
6,1664,5000,50.0,7,1004,1947
6,1694,8400,60.0,5,1181,1925
4,747,4608,47.0,6,747,1945
4,1040,7200,60.0,5,0,1950
7,1660,8935,68.0,5,831,2002
5,1691,5000,50.0,6,1026,1924
5,864,7200,60.0,8,864,1950
6,752,7175,50.0,5,744,1984
7,1792,12435,80.0,5,963,2001
7,1626,2628,36.0,5,764,2003
8,1484,9037,64.0,5,1476,2006
7,3493,18386,87.0,9,1470,1880
9,1652,13173,108.0,5,1652,2006
5,1276,9571,68.0,3,1276,1958
6,1668,9600,80.0,8,856,1950
4,1192,10800,60.0,4,720,1949
5,884,9180,70.04995836802665,7,840,1983
7,2062,14364,70.04995836802665,5,1157,1988
5,827,7200,60.0,7,0,1955
7,2019,11414,60.0,8,728,1910
5,1304,2665,70.04995836802665,6,264,1976
6,1368,3600,60.0,7,684,1910
3,1605,5790,60.0,6,840,1915
10,2020,12220,94.0,5,2006,2009
7,1250,4251,35.0,5,625,2006
8,1624,12461,89.0,5,1624,1994
4,845,7599,69.0,6,845,1982
5,1389,10010,77.0,5,1389,1974
5,968,8520,60.0,6,968,1923
4,1092,2001,21.0,5,546,1970
6,848,4435,70.04995836802665,5,848,2003
5,1269,7931,70.0,6,1269,1960
5,1092,11616,70.04995836802665,5,1092,1962
7,2263,16659,70.04995836802665,7,795,1977
4,952,8475,70.04995836802665,7,952,1956
4,1452,4456,33.0,5,736,1920
5,1039,11625,75.0,4,1039,1965
6,1204,4500,32.0,5,1204,1998
6,1117,7819,94.0,5,1029,1976
7,2196,14684,90.0,7,2158,1990
5,985,8385,65.0,8,985,1977
8,1629,10655,85.0,5,3206,2003
7,1477,6292,52.0,7,861,1928
5,980,7064,71.0,6,980,1977
7,2295,13346,70.04995836802665,5,1095,1992
6,1502,10592,55.0,7,602,1923
6,2201,19690,70.04995836802665,7,697,1966
8,2078,10800,85.0,5,1034,2007
2,800,6120,51.0,3,264,1936
8,1578,9262,78.0,5,1573,2008
8,1932,12444,96.0,5,1932,2008
5,1507,7910,70.0,5,1075,1960
5,900,9819,70.04995836802665,5,882,1967
10,1718,12456,96.0,5,1700,2006
5,1750,9000,50.0,6,636,1880
7,2398,11787,95.0,5,1379,1996
8,1968,12003,92.0,5,774,2009
7,1536,9135,70.0,5,1536,2002
3,864,8212,45.0,3,864,1914
8,3228,12692,70.04995836802665,5,3200,1992
7,2149,12822,48.0,5,1434,2003
7,2640,11700,65.0,7,1240,1880
7,1682,10400,80.0,6,1304,1970
8,2098,10240,80.0,5,1030,2005
5,864,8281,60.0,5,864,1965
5,1968,11075,70.04995836802665,4,784,1969
6,1097,9672,81.0,5,1040,1984
6,1196,12354,67.0,8,684,1920
5,1920,13650,70.04995836802665,5,1052,1958
5,1728,13101,74.0,5,1728,1965
8,2031,9473,75.0,5,1128,2002
6,1196,9000,72.0,5,1196,1956
5,803,5000,50.0,6,720,1941
5,1620,10793,80.0,5,780,1969
8,2097,20896,49.0,5,2077,2005
9,1869,7820,68.0,5,1869,2007
7,1886,11214,70.04995836802665,5,930,1998
2,480,9000,50.0,3,480,1949
4,1296,10791,72.0,5,0,1967
4,816,8877,67.0,6,816,1938
7,1601,11880,82.0,5,1271,1978
6,1792,10261,93.0,5,936,2000
8,2520,14541,70.04995836802665,7,1338,1993
5,1144,8163,70.0,6,1144,1959
5,2601,9842,51.0,6,612,1921
6,1577,6435,65.0,5,972,1939
5,970,8480,80.0,6,970,1963
7,2036,215245,150.0,5,2136,1965
6,1026,7930,61.0,8,1026,1969
